Lista de indices Diarios da TaxaSelic;19940101;20131025;
Data;Taxa Anual;Fator Diário;Fator Acumulado;
23/06/1995;     60,80;          1,00188667;      15,6272444040299643;
26/06/1995;     60,80;          1,00188667;      15,6567278572297155;
27/06/1995;     60,80;          1,00188667;      15,6862669359761151;
28/06/1995;     60,80;          1,00188667;      15,7158617452162131;
29/06/1995;     60,80;          1,00188667;      15,7455123900950602;
30/06/1995;     60,80;          1,00188667;      15,7752189759560808;
03/07/1995;     60,53;          1,00188000;      15,8048763876308783;
04/07/1995;     60,80;          1,00188667;      15,8346949737651298;
05/07/1995;     60,80;          1,00188667;      15,8645698177312833;
06/07/1995;     60,80;          1,00188667;      15,8945010256693024;
07/07/1995;     60,80;          1,00188667;      15,9244887039194019;
10/07/1995;     60,67;          1,00188333;      15,9544797712301544;
11/07/1995;     60,67;          1,00188333;      15,9845273216177053;
12/07/1995;     60,67;          1,00188333;      16,0146314614583276;
13/07/1995;     60,53;          1,00188000;      16,0447389686058692;
14/07/1995;     60,53;          1,00188000;      16,0749030778668482;
17/07/1995;     60,40;          1,00187667;      16,1050703662259886;
18/07/1995;     60,40;          1,00187667;      16,1352942686301740;
19/07/1995;     60,40;          1,00187667;      16,1655748913252841;
20/07/1995;     60,40;          1,00187667;      16,1959123407565876;
21/07/1995;     60,40;          1,00187667;      16,2263067235691152;
24/07/1995;     60,40;          1,00187667;      16,2567581466080357;
25/07/1995;     60,40;          1,00187667;      16,2872667169190306;
26/07/1995;     60,40;          1,00187667;      16,3178325417486710;
27/07/1995;     60,40;          1,00187667;      16,3484557285447945;
28/07/1995;     60,40;          1,00187667;      16,3791363849568827;
31/07/1995;     60,40;          1,00187667;      16,4098746188364397;
01/08/1995;     52,40;          1,00167333;      16,4373337543323773;
02/08/1995;     52,27;          1,00167000;      16,4647841017021123;
03/08/1995;     52,27;          1,00167000;      16,4922802911519549;
04/08/1995;     51,76;          1,00165667;      16,5196025571418976;
07/08/1995;     51,00;          1,00163667;      16,5466396950590950;
08/08/1995;     51,00;          1,00163667;      16,5737210838488074;
09/08/1995;     50,87;          1,00163333;      16,6007914397066901;
10/08/1995;     50,87;          1,00163333;      16,6279060103889063;
11/08/1995;     50,87;          1,00163333;      16,6550648681128548;
14/08/1995;     50,87;          1,00163333;      16,6822680852138896;
15/08/1995;     50,87;          1,00163333;      16,7095157341455120;
16/08/1995;     50,87;          1,00163333;      16,7368078874795638;
17/08/1995;     50,87;          1,00163333;      16,7641446179064208;
18/08/1995;     50,87;          1,00163333;      16,7915259982351859;
21/08/1995;     50,87;          1,00163333;      16,8189521013938834;
22/08/1995;     50,87;          1,00163333;      16,8464230004296531;
23/08/1995;     50,87;          1,00163333;      16,8739387685089449;
24/08/1995;     50,87;          1,00163333;      16,9014994789177136;
25/08/1995;     50,87;          1,00163333;      16,9291052050616142;
28/08/1995;     50,87;          1,00163333;      16,9567560204661975;
29/08/1995;     50,87;          1,00163333;      16,9844519987771056;
30/08/1995;     50,87;          1,00163333;      17,0121932137602682;
31/08/1995;     50,87;          1,00163333;      17,0399797393020992;
01/09/1995;     52,27;          1,00167000;      17,0684365054667337;
